ID;Pred_RF;Pred_LogReg
0;1;1
1;1;1
2;1;1
3;1;1
4;1;1
5;1;1
6;1;2
7;1;2
8;2;3
9;2;3
10;1;1
11;1;1
12;2;1
13;2;2
14;2;1
15;2;1
16;2;2
17;2;2
18;2;2
19;2;2
20;1;1
21;1;2
22;1;1
23;1;1
24;1;1
25;1;1
26;1;1
27;3;3
28;3;3
29;3;3
30;3;3
31;1;1
32;2;1
33;1;2
34;1;1
35;1;1
36;1;2
37;1;1
38;2;2
39;2;2
40;2;2
41;2;2
42;1;1
43;1;2
44;1;1
45;1;1
46;2;2
47;2;2
48;2;2
49;2;2
50;3;3
51;3;3
52;3;3
53;3;3
54;2;2
55;2;2
56;2;2
57;2;2
58;2;2
59;2;2
60;2;2
61;2;2
62;2;2
63;2;2
64;2;2
65;2;2
66;2;2
67;2;2
68;2;2
69;2;2
70;2;2
71;2;2
72;2;2
73;1;2
74;3;3
75;3;3
76;3;3
77;3;3
78;2;2
79;2;2
80;2;2
81;2;2
82;3;3
83;3;3
84;3;3
85;3;3
86;1;2
87;1;1
88;1;1
89;2;2
90;3;2
91;3;3
92;3;3
93;2;2
94;3;3
95;3;3
96;3;3
97;3;3
98;2;2
99;2;2
100;2;2
101;2;2
102;3;3
103;2;3
104;3;3
105;3;3
106;2;2
107;2;2
108;2;2
109;2;2
110;2;2
111;2;2
112;2;2
113;2;2
114;3;3
115;3;3
116;3;3
117;3;3
118;2;2
119;1;1
120;1;1
121;1;1
122;3;3
123;3;3
124;3;3
125;3;3
126;2;2
127;2;2
128;2;2
129;2;2
130;2;2
131;2;2
132;2;3
133;1;1
134;2;2
135;1;1
136;2;2
137;2;2
138;2;2
139;2;2
140;3;3
141;3;3
142;3;3
143;3;3
144;2;2
145;2;2
146;2;2
147;2;2
148;3;2
149;3;3
150;3;2
151;3;2
152;2;2
153;2;2
154;2;2
155;2;2
156;2;2
157;2;2
158;2;2
159;2;2
160;2;2
161;2;2
162;2;2
163;2;2
164;2;2
165;2;2
166;2;2
167;1;1
168;1;1
169;1;1
170;1;2
171;1;2
172;1;2
173;1;1
174;2;2
175;2;2
176;2;2
177;2;2
178;3;3
179;3;3
180;3;3
181;3;3
182;1;2
183;1;2
184;1;1
185;1;1
186;2;2
187;2;2
188;2;2
189;2;2
190;2;2
191;2;2
192;2;2
193;3;3
194;3;3
195;3;3
196;3;3
197;3;3
198;3;3
199;3;3
200;3;3
201;3;3
202;3;3
203;3;3
204;3;3
205;2;2
206;2;2
207;2;2
208;2;2
209;2;2
210;2;2
211;2;2
212;2;2
213;1;1
214;1;1
215;2;1
216;2;2
217;2;2
218;2;2
219;2;2
220;2;2
221;3;3
222;3;3
223;3;3
224;3;3
225;3;3
226;3;3
227;3;3
228;3;2
229;2;3
230;3;3
231;3;3
232;3;3
233;3;3
234;2;2
235;2;2
236;2;2
237;1;1
238;1;2
239;1;1
240;1;1
241;1;2
242;1;1
243;1;2
244;1;2
245;2;2
246;2;2
247;2;2
248;3;3
249;2;3
250;3;3
251;3;3
252;2;2
253;2;2
254;2;2
255;3;3
256;3;3
257;2;3
258;2;3
259;2;2
260;2;2
261;2;2
262;2;2
263;3;3
264;3;3
265;3;3
266;3;3
267;2;2
268;2;2
269;1;2
270;1;2
271;2;2
272;2;2
273;2;2
274;2;2
275;2;2
276;1;2
277;1;2
278;1;2
279;2;2
280;2;2
281;2;2
282;2;2
283;1;1
284;1;1
285;1;1
286;1;1
287;3;3
288;2;3
289;3;3
290;2;2
291;2;2
292;2;2
293;2;2
294;1;1
295;1;1
296;1;1
297;2;2
298;2;2
299;2;2
300;2;2
301;3;3
302;3;3
303;3;3
304;3;3
305;2;2
306;2;2
307;2;2
308;2;2
309;2;2
310;1;1
311;1;1
312;2;2
313;2;2
314;2;2
315;2;2
316;2;2
317;2;2
318;2;2
319;2;2
320;2;2
321;2;2
322;2;2
323;2;2
324;2;2
325;2;2
326;2;2
327;2;2
328;3;3
329;3;3
330;3;3
331;3;3
332;2;2
333;2;2
334;2;2
335;2;2
336;2;2
337;2;2
338;2;2
339;2;2
340;2;2
341;2;1
342;2;2
343;2;2
344;2;2
345;2;2
346;2;2
347;2;2
348;1;2
349;1;2
350;1;2
351;1;2
352;2;2
353;2;2
354;2;2
355;2;2
356;2;2
357;2;2
358;2;2
359;2;2
360;2;3
361;3;3
362;2;3
363;3;3
364;2;2
365;2;2
366;2;2
367;2;2
368;2;2
369;1;2
370;2;2
371;2;2
372;2;2
373;2;2
374;2;2
375;2;2
376;2;2
377;2;2
378;2;2
379;3;3
380;3;3
381;3;3
382;3;3
383;1;2
384;2;2
385;1;2
386;1;2
387;2;2
388;2;2
389;2;2
390;2;2
391;3;3
392;3;3
393;3;3
394;3;3
395;2;2
396;2;2
397;2;2
398;2;2
399;3;2
400;2;2
401;2;2
402;3;3
403;3;3
404;3;3
405;3;3
406;2;2
407;2;2
408;2;2
409;2;2
410;2;2
411;2;2
412;2;2
413;2;2
414;2;2
415;2;2
416;2;2
417;2;2
418;2;2
419;3;2
420;2;2
421;3;2
422;3;2
423;3;2
424;3;2
425;1;1
426;1;1
427;1;1
428;1;1
429;2;2
430;2;1
431;2;2
432;2;2
433;3;3
434;3;3
435;3;3
436;3;3
437;2;2
438;2;2
439;2;2
440;1;1
441;1;2
442;1;2
443;1;1
444;2;2
445;2;2
446;2;2
447;2;2
448;3;3
449;3;3
450;3;3
451;3;3
452;3;3
453;3;3
454;3;3
455;3;3
456;2;2
457;2;2
458;2;1
459;2;2
460;3;3
461;3;3
462;3;3
463;3;3
464;3;2
465;3;3
466;3;2
467;3;2
468;2;2
469;2;2
470;2;2
471;2;2
472;1;1
473;2;2
474;2;2
475;2;1
476;2;2
477;2;2
478;2;2
479;3;2
480;3;2
481;2;2
482;2;2
483;2;2
484;2;2
485;2;2
486;2;2
487;1;2
488;1;2
489;2;2
490;2;2
491;2;2
492;2;2
493;2;2
494;2;2
495;1;1
496;1;1
497;1;1
498;1;1
499;2;2
500;2;2
501;2;2
502;2;2
503;3;2
504;3;2
505;3;3
506;3;3
507;3;3
508;3;3
509;3;3
510;3;3
511;2;2
512;2;2
513;2;2
514;2;2
515;2;2
516;2;2
517;2;2
518;2;2
519;2;2
520;2;2
521;2;2
522;2;2
523;2;2
524;2;2
525;2;2
526;2;2
527;2;2
528;2;2
529;2;2
530;2;2
531;2;2
532;2;2
533;2;2
534;2;2
535;2;2
536;2;2
537;3;3
538;3;3
539;3;3
540;3;3
541;2;2
542;1;2
543;1;2
544;2;1
545;1;2
546;1;1
547;1;1
548;2;2
549;2;2
550;2;2
551;2;2
552;2;2
553;2;2
554;2;2
555;1;1
556;1;1
557;1;1
558;1;2
559;2;2
560;2;2
561;2;2
562;3;3
563;3;3
564;3;3
565;3;3
566;1;1
567;1;2
568;1;1
569;1;1
570;3;3
571;3;3
572;3;3
573;3;3
574;2;2
575;2;2
576;2;2
577;2;2
578;2;2
579;2;2
580;2;2
581;2;2
582;2;2
583;2;2
584;2;2
585;1;1
586;1;1
587;1;1
588;1;1
589;1;1
590;1;2
591;2;2
592;1;1
593;2;2
594;2;2
595;2;2
596;2;2
597;1;1
598;1;1
599;2;1
600;1;1
601;2;2
602;2;2
603;2;2
604;2;2
605;3;2
606;3;2
607;3;2
608;3;3
609;2;2
610;2;2
611;2;2
612;2;2
613;3;3
614;3;3
615;3;3
616;2;2
617;2;2
618;2;2
619;2;2
620;2;2
621;2;2
622;2;2
623;2;2
624;3;2
625;3;2
626;2;2
627;3;2
628;3;3
629;3;3
630;3;3
631;3;3
632;3;1
633;2;2
634;2;1
635;3;1
636;3;2
637;3;2
638;2;2
639;3;2
640;1;2
641;1;1
642;1;1
643;1;2
644;2;2
645;2;2
646;2;2
647;2;2
648;3;3
649;3;3
650;3;3
651;3;3
652;2;3
653;2;2
654;2;2
655;2;2
656;3;3
657;3;3
658;3;3
659;3;3
660;2;2
661;2;2
662;2;2
663;2;2
664;2;2
665;2;2
666;2;1
667;1;2
668;3;3
669;3;3
670;3;3
671;2;3
672;2;2
673;2;2
674;2;2
675;2;2
676;2;2
677;2;2
678;2;2
679;2;2
680;2;2
681;2;2
682;2;2
683;2;2
684;2;2
685;2;2
686;2;2
687;2;1
688;2;1
689;2;2
690;1;1
691;1;2
692;2;2
693;1;1
694;1;1
695;1;2
696;1;1
697;1;2
698;2;2
699;2;2
700;2;2
701;2;2
702;2;2
703;2;2
704;3;3
705;3;3
706;3;3
707;3;3
708;2;2
709;2;2
710;2;2
711;2;2
712;3;3
713;3;3
714;3;3
715;3;3
716;2;2
717;2;2
718;1;2
719;1;2
720;3;3
721;3;3
722;3;3
723;3;3
724;3;3
725;3;3
726;3;3
727;3;3
728;2;2
729;3;2
730;2;2
731;2;2
732;2;2
733;2;1
734;2;2
735;2;2
736;3;3
737;3;3
738;3;3
739;3;3
740;2;2
741;2;2
742;2;1
743;2;2
744;3;3
745;3;3
746;3;2
747;3;3
748;3;2
749;3;2
750;3;2
751;3;2
752;2;2
753;2;2
754;2;2
755;2;2
756;2;2
757;2;2
758;2;2
759;2;2
760;1;2
761;3;2
762;2;1
763;1;2
764;3;3
765;3;3
766;3;3
767;3;3
768;1;2
769;2;2
770;1;2
771;2;2
772;2;2
773;2;2
774;2;2
775;2;2
776;3;3
777;3;3
778;3;3
779;2;2
780;2;2
781;2;2
782;2;2
783;2;2
784;2;2
785;2;2
786;2;2
787;1;2
788;1;1
789;1;1
790;1;2
791;1;2
792;1;1
793;1;2
794;1;1
795;1;1
796;1;1
797;1;1
798;2;2
799;2;2
800;2;2
801;2;2
802;3;3
803;3;3
804;3;3
805;3;3
806;2;2
807;2;2
808;2;2
809;1;1
810;1;1
811;1;1
812;1;1
813;3;2
814;3;2
815;2;2
816;3;2
817;3;2
818;3;2
819;3;3
820;3;2
821;3;3
822;3;3
823;3;3
824;3;3
825;1;2
826;1;2
827;2;2
828;2;2
829;1;1
830;1;1
831;1;1
832;2;2
833;2;2
834;2;2
835;2;2
836;3;2
837;3;2
838;3;2
839;3;2
840;3;3
841;3;3
842;3;3
843;3;3
844;3;3
845;3;3
846;3;3
847;2;2
848;2;2
849;2;2
850;2;2
851;2;2
852;2;2
853;2;2
854;2;2
855;1;2
856;2;2
857;2;2
858;2;3
859;2;2
860;3;2
861;2;2
862;2;2
863;3;3
864;3;3
865;3;3
866;2;1
867;2;2
868;1;2
869;2;2
870;1;2
871;1;1
872;1;1
873;1;1
874;3;1
875;3;1
876;2;2
877;2;2
878;2;2
879;2;2
880;2;2
881;3;2
882;3;3
883;3;2
884;3;2
885;2;2
886;2;2
887;2;2
888;2;2
889;3;1
890;2;1
891;3;1
892;2;2
893;2;2
894;2;2
895;2;2
896;3;3
897;3;3
898;3;3
899;3;3
900;3;3
901;3;3
902;3;3
903;3;3
904;2;2
905;2;2
906;2;2
907;2;2
908;2;2
909;2;2
910;2;2
911;2;2
912;2;2
913;2;2
914;2;2
915;2;2
916;3;2
917;3;3
918;3;3
919;3;3
920;3;3
921;3;3
922;3;3
923;3;2
924;3;3
925;3;3
926;3;3
927;3;3
928;2;2
929;2;2
930;2;2
931;2;2
932;2;2
933;2;2
934;2;2
935;2;2
936;2;2
937;2;2
938;2;2
939;2;2
940;3;2
941;2;2
942;2;2
943;2;2
944;1;1
945;1;1
946;1;1
947;1;1
948;3;2
949;3;2
950;3;2
951;3;2
952;2;3
953;2;2
954;2;2
955;2;2
956;2;2
957;2;2
958;2;2
959;2;2
960;2;2
961;2;2
962;2;2
963;2;2
964;2;2
965;1;2
966;1;2
967;2;2
968;2;2
969;1;2
970;1;2
971;3;3
972;3;3
973;3;3
974;3;3
975;3;1
976;3;1
977;1;2
978;2;2
979;3;3
980;3;3
981;3;3
982;3;3
983;3;3
984;3;3
985;3;3
986;3;3
987;2;2
988;2;2
989;2;2
990;2;2
991;2;2
992;2;2
993;2;2
994;2;2
995;2;2
996;2;2
997;3;2
998;2;2
999;1;2
1000;1;1
1001;1;1
1002;1;1
1003;2;2
1004;2;2
1005;2;2
1006;2;2
1007;3;3
1008;3;2
1009;3;2
1010;3;3
1011;1;1
1012;1;2
1013;1;1
1014;1;1
1015;2;2
1016;2;2
1017;2;2
1018;2;2
1019;3;1
1020;3;2
1021;3;1
1022;3;2
1023;2;2
1024;2;2
1025;2;2
1026;2;2
1027;3;3
1028;3;3
1029;3;3
1030;3;2
1031;3;2
1032;2;2
1033;3;2
1034;3;3
1035;3;3
1036;3;3
1037;3;3
1038;2;2
1039;2;1
1040;2;2
1041;2;1
1042;3;3
1043;3;3
1044;3;3
1045;3;3
1046;3;3
1047;3;3
1048;3;3
1049;2;2
1050;2;2
1051;2;2
1052;2;2
1053;3;3
1054;3;2
1055;2;3
1056;3;3
1057;1;2
1058;1;2
1059;2;2
1060;2;2
1061;2;2
1062;2;2
1063;2;2
1064;2;2
1065;2;2
1066;2;2
1067;2;2
1068;2;2
1069;1;1
1070;1;1
1071;1;1
1072;1;1
1073;3;3
1074;3;3
1075;3;3
1076;3;3
1077;3;2
1078;3;2
1079;3;2
1080;3;2
1081;3;3
1082;3;3
1083;3;3
1084;3;3
1085;2;2
1086;2;2
1087;2;2
1088;2;2
1089;2;2
1090;2;2
1091;2;2
1092;2;2
1093;1;1
1094;1;2
1095;1;1
1096;1;1
1097;1;1
1098;1;1
1099;1;1
1100;2;2
1101;1;2
1102;1;2
1103;2;2
1104;1;1
1105;1;1
1106;1;1
1107;1;2
1108;2;1
1109;3;3
1110;3;3
1111;3;3
1112;3;3
1113;3;3
1114;3;3
1115;3;3
1116;3;3
1117;2;2
1118;2;2
1119;2;2
1120;2;3
1121;3;3
1122;3;3
1123;3;3
1124;3;3
1125;2;2
1126;2;2
1127;2;2
1128;2;2
1129;2;2
1130;2;2
1131;2;2
1132;2;2
1133;2;1
1134;2;2
1135;2;2
1136;2;2
1137;2;2
1138;1;2
1139;2;2
1140;2;2
1141;2;2
1142;1;1
1143;2;2
1144;2;2
1145;2;2
1146;2;2
1147;2;2
1148;2;2
1149;3;3
1150;3;2
1151;3;3
1152;3;2
1153;1;1
1154;2;1
1155;1;2
1156;1;1
1157;2;2
1158;2;2
1159;2;2
1160;2;2
1161;2;2
1162;2;2
1163;2;2
1164;3;2
1165;3;2
1166;3;2
1167;3;2
1168;2;2
1169;2;2
1170;2;2
1171;2;2
1172;3;3
1173;3;3
1174;3;3
1175;3;3
1176;3;3
1177;3;3
1178;3;2
1179;3;2
1180;2;2
1181;2;2
1182;2;2
1183;2;2
1184;2;2
1185;2;2
1186;2;2
1187;2;2
1188;2;2
1189;2;2
1190;2;2
1191;2;2
1192;2;2
1193;3;3
1194;3;3
1195;3;3
1196;2;2
1197;2;2
1198;2;2
1199;2;2
1200;2;2
1201;2;2
1202;2;2
1203;2;2
1204;2;3
1205;2;2
1206;3;3
1207;3;3
1208;2;2
1209;2;2
1210;2;2
1211;3;2
1212;1;2
1213;1;2
1214;1;2
1215;1;1
1216;1;1
1217;1;1
1218;1;1
1219;1;2
1220;1;2
1221;2;2
1222;1;2
1223;1;2
1224;3;2
1225;3;2
1226;2;2
1227;2;2
1228;3;1
1229;3;1
1230;3;2
1231;3;1
1232;3;3
1233;3;3
1234;3;3
1235;3;3
1236;2;2
1237;2;2
1238;2;2
1239;2;2
1240;3;3
1241;2;3
1242;3;3
1243;3;3
1244;2;2
1245;2;2
1246;2;2
1247;2;2
1248;2;2
1249;2;2
1250;2;2
1251;2;2
1252;3;3
1253;2;2
1254;2;2
1255;2;2
1256;2;2
1257;3;3
1258;3;3
1259;3;3
1260;2;2
1261;1;2
1262;2;2
1263;1;2
1264;3;3
1265;3;3
1266;3;3
1267;3;3
1268;2;2
1269;2;2
1270;2;2
1271;2;2
1272;1;2
1273;2;2
1274;2;2
1275;2;2
1276;2;2
1277;2;2
1278;2;2
1279;2;2
1280;2;2
1281;2;2
1282;2;2
1283;2;2
1284;1;2
1285;1;1
1286;2;2
1287;1;1
1288;2;2
1289;2;2
1290;2;2
1291;2;2
1292;2;2
1293;2;2
1294;2;2
1295;2;2
1296;1;1
1297;1;1
1298;1;1
1299;1;1
1300;2;2
1301;2;2
1302;2;2
1303;2;2
1304;2;2
1305;2;1
1306;2;1
1307;2;1
1308;2;2
1309;2;2
1310;2;2
1311;2;2
1312;3;3
1313;3;3
1314;3;3
1315;3;3
1316;2;2
1317;2;2
1318;2;2
1319;2;2
1320;3;3
1321;3;3
1322;3;3
1323;3;3
1324;3;3
1325;3;3
1326;3;3
1327;1;2
1328;1;1
1329;1;1
1330;1;2
1331;3;3
1332;2;3
1333;2;3
1334;3;3
1335;2;2
1336;2;2
1337;2;2
1338;2;2
1339;2;2
1340;2;2
1341;2;2
1342;2;2
1343;3;3
1344;3;3
1345;3;3
1346;2;2
1347;2;2
1348;2;2
1349;2;2
1350;1;1
1351;1;1
1352;1;1
1353;1;2
1354;1;2
1355;1;2
1356;1;2
1357;2;2
